instant,tanggal,musim,tahun,bulan,holiday,weekday,workingday,cuaca,temp,atemp,kelembaban,kecepatan_angin,casual,registered,total_count,windspeed,day_type
1,2011-01-01,Musim dingin,2011,January,0,Sabtu,Tidak,Berkabut,14.110847,18.18125,80.58330000000001,0.160446,331,654,985,10.749882,Weekend/Holiday
2,2011-01-02,Musim dingin,2011,January,0,Minggu,Tidak,Berkabut,14.902598000000001,17.686950000000003,69.6087,0.248539,131,670,801,16.652113,Weekend/Holiday
3,2011-01-03,Musim dingin,2011,January,0,Senin,Ya,Jelas,8.050924,9.47025,43.7273,0.248309,120,1229,1349,16.636703,Weekday
4,2011-01-04,Musim dingin,2011,January,0,Selasa,Ya,Jelas,8.200000000000001,10.6061,59.0435,0.160296,108,1454,1562,10.739832,Weekday
5,2011-01-05,Musim dingin,2011,January,0,Rabu,Ya,Jelas,9.305237,11.4635,43.695699999999995,0.1869,82,1518,1600,12.522300000000001,Weekday
6,2011-01-06,Musim dingin,2011,January,0,Kamis,Ya,Jelas,8.378268,11.66045,51.8261,0.0895652,88,1518,1606,6.0008684,Weekday
7,2011-01-07,Musim dingin,2011,January,0,Jummat,Ya,Berkabut,8.057402,10.44195,49.8696,0.168726,148,1362,1510,11.304642,Weekday
8,2011-01-08,Musim dingin,2011,January,0,Sabtu,Tidak,Berkabut,6.765000000000001,8.1127,53.5833,0.266804,68,891,959,17.875868,Weekend/Holiday
9,2011-01-09,Musim dingin,2011,January,0,Minggu,Tidak,Jelas,5.671653,5.80875,43.416700000000006,0.36195,54,768,822,24.25065,Weekend/Holiday
10,2011-01-10,Musim dingin,2011,January,0,Senin,Ya,Jelas,6.184153,7.5443999999999996,48.2917,0.223267,41,1280,1321,14.958889,Weekday
11,2011-01-11,Musim dingin,2011,January,0,Selasa,Ya,Berkabut,6.9327309999999995,9.5732,68.6364,0.122132,43,1220,1263,8.182844000000001,Weekday
12,2011-01-12,Musim dingin,2011,January,0,Rabu,Ya,Jelas,7.0818069999999995,8.02365,59.954499999999996,0.304627,25,1137,1162,20.410009,Weekday
13,2011-01-13,Musim dingin,2011,January,0,Kamis,Ya,Jelas,6.765000000000001,7.544149999999999,47.0417,0.301,38,1368,1406,20.166999999999998,Weekday
